Question;Answer;Author of Answer;Badges of Author of Answer;Votes of Answer
How do I retrieve multiple types of entities using a single query to Azure Table Storage?;There are a few ways to go about this and how you do it depends a bit on your personal preference as well as potentially performance goals.;dunnrydunnry;            6,84011 gold badge1818 silver badges2020 bronze badges;2
Mongo error when updating: cannot use the part to traverse the element [duplicate];;;;
How to select where sum of fields is greater than a value in MongoDB;;;;4
Searching multiple strings in all fields in Elasticsearch using Java API;If you're using standard analyzer, elasticsearch tokenizes every word by default using white space tokenizer.;;;1
Firebase: How to match opponents in a game?;;;;2
Do having multiple labels for a node in Neo4j make any sense?;;;;
Postgres and partial dates;In the PG database, you store a date or a timestamp (with time zone, presumably), and rely on date arithmetics to sort them as needed.;;;1
Organisation of entity groups on Google App Engine for writing;;;;1
WaitForNonStaleResults per DocumentStore;;;;
Use NoSql? And if yes how?;Please keep in mind that you are not required to use just 1 data storage engine.  You can use SQL and noSQL solutions in parallel.;;;4
CouchDB or Mongo for very high update rates & volume?;You don't say what platform you're running on, or what platform you can host your nosql solution in. You also don't specify if you want a straight distributed key-value store, or a NoSQL database, which would be MongoDB. The two things are not the same, although a NoSQL database can be used as a kv store, I suppose.;;;1
Open source graph database;I think you can pay attention at Flockdb too.;;;2
Handling sessions without ACID database?;If you don't want to lose your data, stick with ACID tested databases.;GeeksterGeekster;            33611 silver badge1010 bronze badges;1
What options are there for Free for commercial use NoSql Datastores for the .NET world? [closed];It may or may not apply to you: if you're going to use RavenDB for a startup company, you may request a free license.;;;2
Is it possible to choose what should be the field to be return in DynamoDB?;sure,;Eyal ChEyal Ch;            8,28433 gold badges3838 silver badges4949 bronze badges;2
Intersection of two or more sorted sets;"So the idea I had is to use a different data structures, namely a quadtree, to achieve the same type of query more efficiently. You can see my little POC (Redis Quadtree in Hash) made with ""object-oriented"" Lua  at: https://gist.github.com/itamarhaber/c1ffda42d86b314ea701";Itamar HaberItamar Haber;            42.1k66 gold badges7171 silver badges9999 bronze badges;4
mongo C# remove multiple records by id;;;;
Data Integrity importance when taking the NOSQL approach? [closed];;;;
Saving, organizing and querying products, options/tags and categories;;;;
Attempted conditional constraint is not an indexable operation;"That may be helpful:
DynamoDB query with Comparison Operators";yanyang jiangyanyang jiang;            2122 bronze badges;1
Ways to improve Cassandra read performance in my scenario;Old post but incase someone else comes by this.;;;0
Cassandra - how to retrieve all keys in a CF (Random Partitioner);"Here is an example of doing this in Java with the Hector client (with multiple threads):
https://github.com/zznate/cassandra-tutorial/blob/master/src/main/java/com/datastax/tutorial/KeyIteratorExample.java";;;2
How to avoid data loss on server failure with MongoDB on a single machine?;Besides --journal that is enabled by default since MongoDB 2.0 (only on 64 bit machines), there is a flag that you can set when persisting data:;;;3
couchdb views tied between two databases?;No, unfortunately there is no way to connect data from multiple databases.;;;3
Why is C in CAP theorem not same as C in ACID?;You cannot hardly have meaningful consistency without atomicity. This is why the CAP theorem defines the C in the way that it does.;;;1
Comparison of NoSQL Databases for Java;"Maybe the most prominent of Java NoSQL solutions is Cassandra. It has some features beyond Voldemort (Order-Preserving Partitioner which allows range queries; BigTable style structure for values); and is missing others (no alternate storage backends or version clocks for versioning).
Its performance is more optimal for fast writes, but its biggest strength is probably ease at which it can be horizontally scaled by adding new nodes (something where V is bit more static).";;;3
Are there ORM (OKM) for key-value stores?;One of the design goals of SQL is that any data can be stored/queried in any relational database - There are some differences between platforms, but in general the correct way to handle a particular data structure is well known and easily automated but requiring fairly verbose code. That is not the case with NoSQL - generally you will be directly storing the data as used in your application rather than trying to map it to a relational structure, and without joins or other object/relational differences the mapping code is trivial.;;;4
Is my idea for an object persistence library useful?;Ben, I think it's awesome.  At the very least post it to CodePlex and share with the rest of the world.  I'm quite sure there are developers out there who can use an object persistence framework (or help polish it up).;;;2
Difference between Google Cloud Firestore vs Google Cloud Spanner?;;;;1
"I am trying to install MongoDB and I get this error ""Data directory C:\data\db\ not found., terminating""";'test' folder is automatically created while installing mongodb. Can you see 'test' folder? If yes then, use below:;;;0
Cassandra IN clause on index;;;;
combining two $elemMatch queries with AND boolean operator in MongoDB;;;;
Time to learn Cassandra/ MongoDB [closed];qMongoFront is a qt based mongodb gui application under linux. It's free and opensouce. If you want to learn mongodb, qMongoFront is a good choice.;;;2
